"lang"
{
	"Language"		"English"
// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\heroes\shadow_shaman.txt' end

// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\heroes\silencer.txt' begin 
"DOTA_Tooltip_ability_silencer_curse_of_the_silent_damage_pct"		"%DAMAGE FROM INT:"
// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\heroes\silencer.txt' end

// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\heroes\slardar.txt' begin 
"DOTA_Tooltip_modifier_slardar_amplify_damage_Description"			"Armor reduced by %dMODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS%.\nProvides True Sight too."
"DOTA_Tooltip_ability_slardar_slithereen_crush_damage_pct"			"%DAMAGE FROM STR:"
"DOTA_Tooltip_ability_slardar_amplify_damage_armor_reduction_pct"	"%DISARMOR:"
// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\heroes\slardar.txt' end

// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\heroes\spike.txt' begin 

"DOTA_Tooltip_ability_spike_dash"							"Spiked Dash"
"DOTA_Tooltip_ability_spike_dash_Description"				"Spike rushes forward, dealing damage to all and deal basic attack to enemies."
"DOTA_Tooltip_ability_spike_dash_range_tooltip"				"RANGE:"
"DOTA_Tooltip_modifier_spike_dash_active"					"Dashed"

"DOTA_Tooltip_ability_spike_dash_damage_tooltip"			"DAMAGE:"
"DOTA_Tooltip_modifier_spike_dash_active"					"Dashing"

"DOTA_Tooltip_ability_angel_arena_shell"					"Thorn Shell"
"DOTA_Tooltip_ability_angel_arena_shell_Description"		"Reflects a percentage of incoming damage back to the attacker."
"DOTA_Tooltip_ability_angel_arena_shell_return_damage"		"%RETURN:"

"DOTA_Tooltip_ability_spike_heal"							"Ressurection Power"
"DOTA_Tooltip_ability_spike_heal_Description"				"<h1>Active: Force ressurect</h1> Applies passive bonus multiplied by  %multiplier%% .\n<h1>Passive: Healing powers</h1> Give regeneration from max health and status resistance.\n<h1>Passive: Emergency regeneration</h1> When unit lose  %thresshold_pct%%  health applies active ability for a short time."
"DOTA_Tooltip_ability_spike_heal_active_duration"			"ACTIVE DURATION:"
"DOTA_Tooltip_ability_spike_heal_passive_duration"			"PASSIVE ACTIVATION DURATION:"
"DOTA_Tooltip_ability_spike_heal_thresshold_pct"			"%ACTIVATION HP THRESSHOLD:"
"DOTA_Tooltip_ability_spike_heal_status_resist"				"%STATUS RESISTANCE:"
"DOTA_Tooltip_ability_spike_heal_multiplier"				"%ACTIVE MULTIPLIER:"
"DOTA_Tooltip_ability_spike_heal_heal_per_sec"				"%HEAL:"

"DOTA_Tooltip_modifier_spike_heal_active"					"Ressurection Power"

"DOTA_Tooltip_Ability_spike_conclusion"									"Conclusion"
"DOTA_Tooltip_Ability_spike_conclusion_Description"						"Spike purges all negative effects and gets enraged. While he is enraged spike refreshes all skills and items, but following usage will increase the ability or item cooldown. \nPassive - Spike gains bonus damage for every killed enemy unit when he has the talent."
"DOTA_Tooltip_Ability_spike_conclusion_duration"						"DURATION:"
"DOTA_Tooltip_Ability_spike_conclusion_total_cooldown"					"%COOLDOWN INCREASED:"
"DOTA_Tooltip_Ability_spike_conclusion_damage_by_creep"					"DAMAGE PER CREEP KILL:"
"DOTA_Tooltip_Ability_spike_conclusion_damage_by_hero"					"DAMAGE PER HERO KILL:"
"DOTA_Tooltip_modifier_spike_conclusion_active"							"Conclusion of Madness"
"DOTA_Tooltip_modifier_spike_conclusion_active_Description"				"Madness swallowed this hero."
"DOTA_Tooltip_modifier_spike_conclusion_attack"							"Bonus Damage"
"DOTA_Tooltip_modifier_spike_conclusion_attack_Description"				"Get %dMODIFIER_PROPERTY_PREATTACK_BONUS_DAMAGE%% bonus damage."

"DOTA_Tooltip_Ability_spike_special_bonus_attack"						"+2 damage per killed creep, +15 damage per killed hero"
"DOTA_Tooltip_Ability_spike_special_bonus_dash_doubled"					"Spiked Dash deals 200% attack damage"
"DOTA_Tooltip_Ability_spike_special_bonus_shell_25"						"+10% damage reflected by Thorn Shell"
"DOTA_Tooltip_Ability_spike_special_bonus_shell_block"					"Thorn Shell now blocks incoming damage"

"DOTA_Tooltip_modifier_spike_special_bonus_attack"						"Attack bonus"

"DOTA_Tooltip_modifier_spike_special_bonus_attack_Description"			"Getting %dMODIFIER_PROPERTY_PREATTACK_BONUS_DAMAGE%% attack damage"

// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\heroes\spike.txt' end

// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\heroes\spirit_breaker.txt' begin 
"DOTA_Tooltip_ability_spirit_breaker_greater_bash_damage_pct"		"%DAMAGE FROM STR:"
"DOTA_Tooltip_ability_spirit_breaker_nether_strike_damage_pct"		"%DAMAGE FROM STR:"
// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\heroes\spirit_breaker.txt' end

// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\heroes\storm_spirit.txt' begin 
"DOTA_Tooltip_ability_storm_spirit_overload_damage_pct"		"%DAMAGE FROM INT:"
// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\heroes\storm_spirit.txt' end

// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\heroes\sven.txt' begin 
"DOTA_Tooltip_ability_sven_gods_strength_duration"						"DURATION:"

// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\heroes\sven.txt' end

// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\heroes\techies.txt' begin 
"DOTA_Tooltip_ability_techies_remote_mines_damage_pct"				"%DAMAGE:"
"DOTA_Tooltip_ability_techies_suicide_damage_pct"					"%DAMAGE(MAGICAL):"
"DOTA_Tooltip_ability_techies_land_mines_damage_pct"				"%DAMAGE(MAGICAL):"
"DOTA_Tooltip_ability_special_bonus_unique_techies_4"				"+{s:value} Mines Movement Speed"

// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\heroes\techies.txt' end

// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\heroes\timbersaw.txt' begin 
"DOTA_Tooltip_ability_shredder_chakram_damage_pct"					"%DAMAGE FROM STR:"
"DOTA_Tooltip_ability_shredder_chakram_2_damage_pct"				"%DAMAGE FROM STR:"
// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\heroes\timbersaw.txt' end

// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\heroes\tiny.txt' begin 
"DOTA_Tooltip_ability_tiny_toss_damage_pct"			"%DAMAGE FROM STR:"

// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\heroes\tiny.txt' end

// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\heroes\treant.txt' begin 
"DOTA_Tooltip_ability_treant_overgrowth_damage_pct"					"%DAMAGE WITH SCEPTER FROM STRENGTH:"
"DOTA_Tooltip_ability_treant_overgrowth_damage_pct_creep"			"%DAMAGE WITH SCEPTER FROM STRENGTH TO CREEPS:"
// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\heroes\treant.txt' end

// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\heroes\troll_warlord.txt' begin 
"DOTA_Tooltip_ability_troll_warlord_whirling_axes_melee_damage_pct"		"%DAMAGE:"
"DOTA_Tooltip_ability_troll_warlord_whirling_axes_ranged_damage_pct"	"%DAMAGE:"

"DOTA_Tooltip_ability_fervor_aa"								"Fervor"
"DOTA_Tooltip_ability_fervor_aa_Description"					"Troll Warlord learns about the weakness of his target with each attack, increasing his damage and attack speed. \nIf Troll changes targets, the stacks drop to zero"
"DOTA_Tooltip_ability_fervor_aa_attack_speed"					"ATTACK SPEED:"
"DOTA_Tooltip_ability_fervor_aa_damage"						    "DAMAGE:"
"DOTA_Tooltip_ability_fervor_aa_duration"						"DURATION:"

"DOTA_Tooltip_modifier_fervor_aa_effect"					"Fervor Stack"
"DOTA_Tooltip_modifier_fervor_aa_effect_Description"		"Increase damage by %dMODIFIER_PROPERTY_PREATTACK_BONUS_DAMAGE%% and attack speed by %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%%."

// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\heroes\troll_warlord.txt' end

// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\heroes\tusk.txt' begin 
"DOTA_Tooltip_ability_tusk_ice_shards_damage_pct"					"%DAMAGE FROM STR:"
"DOTA_Tooltip_ability_tusk_snowball_damage_pct"						"%DAMAGE FROM STR:"
// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\heroes\tusk.txt' end

// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\heroes\underlord.txt' begin 
"DOTA_Tooltip_modifier_dark_rift_charges"       "Dark Rift charges"

"DOTA_Tooltip_ability_abyssal_underlord_dark_rift_scepter_teleport_delay"   "SCEPTER TELEPORT DELAY:"
// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\heroes\underlord.txt' end

// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\heroes\undying.txt' begin 
"DOTA_Tooltip_ability_undying_decay_damage_pct"						"%DAMAGE FROM STR:"
"DOTA_Tooltip_ability_undying_soul_rip_damage_pct"					"%DAMAGE FROM STR:"
// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\heroes\undying.txt' end

// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\heroes\venomancer.txt' begin 
"DOTA_Tooltip_ability_venomancer_poison_sting_dmg_pct"				"%DAMAGE FROM AGI:"

"DOTA_Tooltip_ability_venomancer_ward_cleave"						"Plague Cleave"
"DOTA_Tooltip_ability_venomancer_ward_cleave_Description"			"Deal cleave attack"
"DOTA_Tooltip_ability_venomancer_ward_cleave_radius"				"RADIUS:"
"DOTA_Tooltip_ability_venomancer_ward_cleave_cleave_percent"		"%DAMAGE:"
// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\heroes\venomancer.txt' end

// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\heroes\viper.txt' begin 
"DOTA_Tooltip_ability_viper_corrosive_skin_damage_pct"			"%DAMAGE FROM MAIN ATT:"
// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\heroes\viper.txt' end

// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\heroes\visage.txt' begin 
"DOTA_Tooltip_ability_visage_soul_assumption_damage_pct"			"%DAMAGE FROM MAIN ATT:"
// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\heroes\visage.txt' end

// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\heroes\warlock.txt' begin 
"DOTA_Tooltip_ability_warlock_shadow_word_heal_pct"					"%HEAL FROM INT:"
"DOTA_Tooltip_ability_warlock_shadow_word_dmg_pct_tooltip"			"%HEAL FROM INT:"
// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\heroes\warlock.txt' end

// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\heroes\windrunner.txt' begin 
"DOTA_Tooltip_ability_windrunner_volley"								"Arrow Volley"
"DOTA_Tooltip_ability_windrunner_volley_Description"					"Gives windrunner the ability to bring down a volley of arrows.\nUpgradable with Aghanim's Scepter."
"DOTA_Tooltip_ability_windrunner_volley_radius"							"RADIUS:"
"DOTA_Tooltip_ability_windrunner_volley_radius_scepter"					"RADIUS SCEPTER:"

"DOTA_Tooltip_ability_windrunner_powershot_damage_pct"					"%DAMAGE FROM INT:"
// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\heroes\windrunner.txt' end

// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\heroes\winter_wyvern.txt' begin 
"DOTA_Tooltip_ability_winter_wyvern_splinter_blast_damage_pct"		"%DAMAGE FROM MAIN ATT:"
// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\heroes\winter_wyvern.txt' end

// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\heroes\wisp.txt' begin 
"DOTA_Tooltip_ability_wisp_spirits_damage_pct"							"%DAMAGE FROM STR:"
// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\heroes\wisp.txt' end

// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\heroes\witch_doctor.txt' begin 
"DOTA_Tooltip_modifier_voodoo_restoration_dummy"					"Healing"
"DOTA_Tooltip_ability_witch_doctor_voodoo_restoration_heal_percent"	"%HEAL:"
// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\heroes\witch_doctor.txt' end

// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\heroes\wraith_king.txt' begin 
"DOTA_Tooltip_Ability_special_bonus_wk_vampiric_ranged"		"Vampiric Aura works on ranged units"
// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\heroes\wraith_king.txt' end

// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\items\!empty.txt' begin 

// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\items\!empty.txt' end

// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\items\abyssal_blade.txt' begin 
"DOTA_Tooltip_Ability_item_abyssal_blade_2"							"Abyssal Blade"
"DOTA_Tooltip_ability_item_abyssal_blade_2_Lore"					"The lost blade of the Commander of the Abyss, this edge cuts into an enemy's soul."
"DOTA_Tooltip_ability_item_abyssal_blade_2_Description"				"<h1>Active: Overwhelm</h1> Blinks to and stuns a target enemy unit for %stun_duration% seconds. <br><br>Pierces Spell Immunity.<br><br>Range: %abilitycastrange%\n<h1>Passive: Bash</h1> Grants melee heroes a %bash_chance_melee%%% chance on hit to stun the target for %bash_duration% seconds and deal %bonus_chance_damage% bonus physical damage.  Bash chance for ranged heroes is %bash_chance_ranged%%%.\n<h1>Passive: Damage Block</h1> Grants a %block_chance%%% chance to block %block_damage_melee% damage from incoming attacks on melee heroes, and %block_damage_ranged% damage on ranged."
"DOTA_Tooltip_ability_item_abyssal_blade_2_bash_chance_melee"		"%BASH MELEE CHANCE:"
"DOTA_Tooltip_ability_item_abyssal_blade_2_bash_chance_ranged"		"%BASH RANGED CHANCE:"
"DOTA_Tooltip_ability_item_abyssal_blade_2_bonus_damage"			"+$damage"
"DOTA_Tooltip_ability_item_abyssal_blade_2_bonus_strength"			"+$str"
"DOTA_Tooltip_ability_item_abyssal_blade_2_Note0"					"The stun is melee range."
"DOTA_Tooltip_ability_item_abyssal_blade_2_Note1"					"Doesn't stack with other bashes."
"DOTA_Tooltip_ability_item_abyssal_blade_2_bash_duration"			"BASH STUN DURATION:"
"DOTA_Tooltip_ability_item_abyssal_blade_2_stun_duration"			"OVERWHELM STUN DURATION:"
"DOTA_Tooltip_ability_item_abyssal_blade_2_bonus_chance_damage"		"BASH BONUS DAMAGE:"
"DOTA_Tooltip_ability_item_abyssal_blade_2_bonus_health"			"+$health"
"DOTA_Tooltip_ability_item_abyssal_blade_2_bonus_health_regen"		"+$hp_regen"
"DOTA_Tooltip_ability_item_abyssal_blade_2_block_damage_melee"		"BLOCK DAMAGE MELEE:"
"DOTA_Tooltip_ability_item_abyssal_blade_2_block_damage_ranged"		"BLOCK DAMAGE RANGED:"
// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\items\abyssal_blade.txt' end

// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\items\advanced_midas.txt' begin 
"DOTA_Tooltip_Ability_item_advanced_midas"								"Demons of Midas"
"DOTA_Tooltip_Ability_item_advanced_midas_Description"					"<h1>Active: Transmute</h1>Kills a non-hero target and gives %bonus_gold% gold and %xp_multiplier%x experience.<br><br>Cannot be used on Ancient Creeps.<br><br>Cast Range: %transmute_cast_range_tooltip% \n<h1>Passive: Bounty</h1>Give for bounty rune 600 gold + 15 gold for every game minute."
"DOTA_Tooltip_Ability_item_advanced_midas_bonus_attack_speed"			"ATTACK SPEED:"
// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\items\advanced_midas.txt' end

"DOTA_Tooltip_Ability_item_hand_of_midas_Description"					"<h1>Active: Transmute</h1>Kills a non-hero target and gives %bonus_gold% gold and %xp_multiplier%x experience.<br><br>Cannot be used on Ancient Creeps.<br><br>Cast Range: %transmute_cast_range_tooltip% \n<h1>Passive: Bounty</h1>Give for bounty rune 300 gold + 15 gold for every game minute."
		"DOTA_Tooltip_ability_item_hand_of_midas_Lore"							"Preserved through unknown magical means, the Hand of Midas is a weapon of greed, sacrificing animals to line the owner's pockets."
		"DOTA_Tooltip_ability_item_hand_of_midas_Note0"							"The gold given is reliable gold (you do not get the normal creep bounty)."
		"DOTA_Tooltip_ability_item_hand_of_midas_Note1"							"Experience gained by using Transmute is not shared."
		"DOTA_Tooltip_ability_item_hand_of_midas_bonus_attack_speed"			"+$attack"
		//"DOTA_Tooltip_ability_item_hand_of_midas_abilitycastrange"	"TRANSMUTE CAST RANGE:"

// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\items\aegis_aa.txt' begin 
"DOTA_Tooltip_Ability_item_aegis_aa"									"Aegis of the Immortal"
"DOTA_Tooltip_ability_item_aegis_aa_Lore"								"The Immortal was said to own a shield that protected him from death itself."
"DOTA_Tooltip_ability_item_aegis_aa_Description"						"<h1>Passive: Reincarnation</h1> Brings you to life with full health and mana %reincarnate_time% seconds after you die, at the location where you died. Reincarnation must be used within %disappear_time_minutes_tooltip% minutes or Aegis of the Immortal disappears. If it expires, it will heal you over 5 seconds (dispels on damage)."

"Dota_tooltip_modifier_aegis_tooltip"									"Aegis of Immortal"
// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\items\aegis_aa.txt' end

// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\items\agile_wand.txt' begin 
"DOTA_Tooltip_Ability_item_agile_wand"							"Agile Wand"
"DOTA_Tooltip_Ability_item_agile_wand_bonus_agi"				"+$agi"
"DOTA_Tooltip_Ability_item_agile_wand_lore"						"Training wand of Monks of Forgotten Order."
// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\items\agile_wand.txt' end

// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\items\amaliels_cuirass.txt' begin 
"DOTA_Tooltip_Ability_item_amaliels_cuirass"						"Amaliels Cuirass"
"DOTA_Tooltip_Ability_item_amaliels_cuirass_Description"			"<h1>Passive: Amaliels Aura</h1> All nearby friendly units gain extra armor and attack speed while the armor of nearby enemies is reduced."
"DOTA_Tooltip_Ability_item_amaliels_cuirass_bonus_armor"			"+$armor"
"DOTA_Tooltip_Ability_item_amaliels_cuirass_bonus_aspeed"			"+$attack"
"DOTA_Tooltip_Ability_item_amaliels_cuirass_bonus_health"			"+$health"
"DOTA_Tooltip_Ability_item_amaliels_cuirass_bonus_stats"			"+$all"
"DOTA_Tooltip_Ability_item_amaliels_cuirass_bonus_armor_aura"		"AURA ARMOR:"
"DOTA_Tooltip_Ability_item_amaliels_cuirass_bonus_aspeed_aura"		"AURA ASPEED:"
"DOTA_Tooltip_Ability_item_amaliels_cuirass_bonus_friend_radius"	"AURA RADIUS:"
"DOTA_Tooltip_Ability_item_amaliels_cuirass_disarmor_aura"			"ENEMIES DISARMOR:"
"DOTA_Tooltip_Ability_item_amaliels_cuirass_enemy_radius"			"EMEMIES DISARMOR RADIUS:"

"DOTA_Tooltip_modifier_amaliels_cuirass_aura_friend"				"Amaliels Aura"
"DOTA_Tooltip_modifier_amaliels_cuirass_aura_friend_Description"	"Amaliels Aura is giving this unit armor and attack speed"

"DOTA_Tooltip_modifier_amaliels_cuirass_aura_enemy"					"Amaliels Aura"
"DOTA_Tooltip_modifier_amaliels_cuirass_aura_enemy_Description"		"Amaliels Aura is decreasing the armor of this unit"
// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\items\amaliels_cuirass.txt' end

// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\items\amber_knife.txt' begin 
"DOTA_Tooltip_Ability_item_amber_knife"							"Amber's Knife"
"DOTA_Tooltip_Ability_item_amber_knife_Description"				"<h1>Active: Phase Shift</h1> Makes you invisible until the duration ends, or until you attack or cast a spell. Activates invisibility after %invis_fadetime% seconds and invisibility duration is %invis_duration% seconds. Attack from invisibility deals additional %invis_damage% damage."
"DOTA_Tooltip_Ability_item_amber_knife_lore"					"Knife that belongs to one of minions of God of Cunning. Almost nobody can catch sight of you with that blade."
"DOTA_Tooltip_Ability_item_amber_knife_bonus_health"			"+$health"
"DOTA_Tooltip_Ability_item_amber_knife_bonus_stats"				"+$all"

"DOTA_Tooltip_modifier_amber_knife_invis"						"Amber's Knife Invisibility"
// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\items\amber_knife.txt' end

// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\items\angels_armor.txt' begin 
"DOTA_Tooltip_Ability_item_angels_armor"							"Angels Armor"
"DOTA_Tooltip_Ability_item_angels_armor_Description"				"The angel's bones provide armor, stats, health and attack speed to the owner. \n(NOT PURCHASABLE)\n(DROPS FROM BOSSES)"
"DOTA_Tooltip_Ability_item_angels_armor_bonus_armor"				"+$armor"
"DOTA_Tooltip_Ability_item_angels_armor_attack_speed"				"+$attack"
"DOTA_Tooltip_Ability_item_angels_armor_bonus_health"				"+$health"
"DOTA_Tooltip_Ability_item_angels_armor_bonus_stats"				"+$all"
"DOTA_Tooltip_Ability_item_angels_armor_dummy"						"Angels Armor"
"DOTA_Tooltip_Ability_item_angels_armor_dummy_Description"			"The angel's bones provide armor, stats, health and attack speed to the owner. \n(NOT PURCHASABLE)\n(DROPS FROM BOSSES)"
"DOTA_Tooltip_Ability_item_angels_armor_dummy_bonus_armor"			"+$armor"
"DOTA_Tooltip_Ability_item_angels_armor_dummy_attack_speed"			"+$attack"
"DOTA_Tooltip_Ability_item_angels_armor_dummy_bonus_health"			"+$health"
"DOTA_Tooltip_Ability_item_angels_armor_dummy_bonus_stats"			"+$all"
// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\items\angels_armor.txt' end

// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\items\angels_blood.txt' begin 
"DOTA_Tooltip_Ability_item_angels_blood"							"Angels Blood"
"DOTA_Tooltip_Ability_item_angels_blood_Description"				"Blood from a defeated angel.\n(NOT PURCHASABLE)\n(DROPS FROM BOSSES)"
"DOTA_Tooltip_Ability_item_angels_blood_bonus_hp_regen"				"+$hp_regen"
"DOTA_Tooltip_Ability_item_angels_blood_dummy"						"Angels Blood"
"DOTA_Tooltip_Ability_item_angels_blood_dummy_Description"			"Blood from a defeated angel.\n(NOT PURCHASABLE)\n(DROPS FROM BOSSES)"
"DOTA_Tooltip_Ability_item_angels_blood_dummy_bonus_hp_regen"		"+$hp_regen"
// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\items\angels_blood.txt' end

// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\items\angels_greaves.txt' begin 
"DOTA_Tooltip_Ability_item_angels_greaves"						"Angels Greaves"
"DOTA_Tooltip_Ability_item_angels_greaves_Description"			"Active: Restore 600 + 30 percent of your MAX HP and 300 and 40 percent of your MAX MANA for any allies in  a 900 radius .\Passive: Angel's Bless Aura - Impoved health regen and armor\n\nCan be used once every 30sec."
"DOTA_Tooltip_Ability_item_angels_greaves_movespeed"			"%+$move_speed"
"DOTA_Tooltip_Ability_item_angels_greaves_bonus_mana"			"+$mana"
"DOTA_Tooltip_Ability_item_angels_greaves_bonus_att"			"+$all"
"DOTA_Tooltip_Ability_item_angels_greaves_bonus_armor"			"+$armor"
"DOTA_Tooltip_Ability_item_angels_greaves_aura_armor"			"ARMOR AURA:"
"DOTA_Tooltip_Ability_item_angels_greaves_aura_hpregen"			"HP REGEN AURA:"
"DOTA_Tooltip_Ability_item_angels_greaves_aura_radius"			"RADIUS AURA:"		

"DOTA_Tooltip_modifier_item_angels_greaves_aura"				"Angels Greaves Aura"
// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\items\angels_greaves.txt' end

// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\items\angels_sword.txt' begin 
"DOTA_Tooltip_Ability_item_angels_sword"							"Angels Sword"
"DOTA_Tooltip_Ability_item_angels_sword_Description"				"<h1>Active: Angels Shield</h1> Blocks incoming magic damage.\nSword of angels. Can block magical damage.\n(NOT PURCHASABLE)\n(DROPS FROM BOSSES)"
"DOTA_Tooltip_Ability_item_angels_sword_bonus_damage"				"+$damage"
"DOTA_Tooltip_Ability_item_angels_sword_sheild_duration"			"SHIELD DURATION:"
// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\items\angels_sword.txt' end

// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\items\armlet.txt' begin 
"DOTA_Tooltip_Ability_item_armlet_2"							"Armlet of Mordiggian"
"DOTA_Tooltip_modifier_item_armlet_2_unholy_strength"			"Unholy Strength"
"DOTA_Tooltip_modifier_item_armlet_2_unholy_strength_Description"	"Damage increased by %dMODIFIER_PROPERTY_PREATTACK_BONUS_DAMAGE%.\nStrength increased by 25.\nLosing %dMODIFIER_PROPERTY_TOOLTIP% health per second."
"DOTA_Tooltip_ability_item_armlet_2_Lore"						"Weapon of choice among brutes, the bearer sacrifices his life energy to gain immense strength and power."
"DOTA_Tooltip_ability_item_armlet_2_Description"				"<h1>Active: Toggle Unholy Strength</h1> When active, Unholy Strength grants +%unholy_bonus_damage% damage and +%unholy_bonus_strength% strength, but drains %unholy_health_drain_per_second_tooltip% health per second.  You cannot die from the health drain when Unholy Strength is activated, nor from the strength loss when Unholy Strength is deactivated."
"DOTA_Tooltip_ability_item_armlet_2_bonus_damage"				"+$damage"
"DOTA_Tooltip_ability_item_armlet_2_bonus_attack_speed"			"+$attack"
"DOTA_Tooltip_ability_item_armlet_2_bonus_armor"				"+$armor"
"DOTA_Tooltip_ability_item_armlet_2_bonus_health_regen"			"+$hp_regen"

"DOTA_Tooltip_Ability_item_armlet_3"							"Armlet of Mordiggian"
"DOTA_Tooltip_modifier_item_armlet_3_unholy_strength"			"Unholy Strength"
"DOTA_Tooltip_modifier_item_armlet_3_unholy_strength_Description"	"Damage increased by %dMODIFIER_PROPERTY_PREATTACK_BONUS_DAMAGE%.\nStrength increased by 25.\nLosing %dMODIFIER_PROPERTY_TOOLTIP% health per second."
"DOTA_Tooltip_ability_item_armlet_3_Lore"						"Weapon of choice among brutes, the bearer sacrifices his life energy to gain immense strength and power."
"DOTA_Tooltip_ability_item_armlet_3_Description"				"<h1>Active: Toggle Unholy Strength</h1> When active, Unholy Strength grants +%unholy_bonus_damage% damage and +%unholy_bonus_strength% strength, but drains %unholy_health_drain_per_second_tooltip% health per second.  You cannot die from the health drain when Unholy Strength is activated, nor from the strength loss when Unholy Strength is deactivated."
